construct,within_method_id,concentration,measure,response,method,nucleotide,experimenter,unique_experiment_id
W311*-GFP+SUR,8,0,fluorescence,0.9801812469819233,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,9,0,fluorescence,1,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-6,fluorescence,0.8584328786742089,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,0,fluorescence,0.9892900217468578,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-5,fluorescence,0.7026008205390748,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,0,fluorescence,1.004136796142947,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-4,fluorescence,0.30017015741991504,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,0,fluorescence,1.0254392684913798,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,0.001,fluorescence,-0.014205492063656289,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,0,fluorescence,0.9785620308275974,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,10,0,fluorescence,1,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-4,fluorescence,0.707124018102163,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,0,fluorescence,1.1241795735176434,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-5,fluorescence,1.17995315886311,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,0,fluorescence,0.7697534344674504,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-6,fluorescence,0.9461493726869326,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,0,fluorescence,1.0777170987539024,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,0.001,fluorescence,0.039445731074980284,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,0,fluorescence,1.0479135195693126,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,11,0,fluorescence,1,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-4,fluorescence,0.7028857527560591,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0,fluorescence,1.002693467449733,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-5,fluorescence,0.9251770152955083,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0,fluorescence,1.0070565028288974,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-6,fluorescence,1.0335429846070834,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0,fluorescence,0.9881836960635382,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0.001,fluorescence,0.129522070223844,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0,fluorescence,0.995817105199607,pcf,TNP-ATP,Sam,177
