n,construct,date,cumulative_exposure,concentration,dye,response,raw_intensity,corrected_intensity,measure,method,unique_experiment_id
1,W311*-GFP,2018-06-07,12000,0,560.892883758269,0.9755423140015722,69.11259552042159,107.69969152384476,fluorescence,unroofed,1
1,W311*-GFP,2018-06-07,13000,0.001,471.7451145510986,0.12803077336833502,17.131093544137027,44.13490988966901,fluorescence,unroofed,1
1,W311*-GFP,2018-06-07,13000,0.001,507.9542876453923,0.12595788317620094,38.64437417654809,66.19456834795375,fluorescence,unroofed,1
1,W311*-GFP,2018-06-07,13000,0.001,560.892883758269,0.664122345802917,46.343372859025045,73.31898447713161,fluorescence,unroofed,1
2,W311*-GFP,2018-06-07,0,0,471.7451145510986,1,668.1801470588235,668.1801470588235,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,0,0,507.9542876453923,1,1038.7696895424838,1038.7696895424838,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,0,0,560.892883758269,1,221.3442401960784,221.3442401960784,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,1000,1e-6,471.7451145510986,0.9496792259406492,560.5446895424836,634.5568048477327,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,1000,1e-6,507.9542876453923,0.9607943939904899,916.2914215686274,998.0440943596601,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,1000,1e-6,560.892883758269,0.9761303784950865,200.7935049019608,216.06083696030535,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,2000,0,471.7451145510986,1.002158093809911,525.726225490196,669.6221424980967,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,2000,0,507.9542876453923,1.0052471630020974,884.5264705882352,1044.2202834251514,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,2000,0,560.892883758269,1.0073680581200557,193.39432189542487,222.97511742238265,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,3000,3e-6,471.7451145510986,0.9075008690632751,425.879248366013,606.3740641467093,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,3000,3e-6,507.9542876453923,0.9272455980466161,756.5857026143791,963.1946220125182,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,3000,3e-6,560.892883758269,0.9590969015871648,172.5779820261438,212.29057495622396,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,4000,0,471.7451145510986,1.019444583648867,430.9167075163398,681.1726318208212,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,4000,0,507.9542876453923,1.0223860111777374,777.5211192810457,1062.0235994236766,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,4000,0,560.892883758269,1.0224752860874433,173.17871732026146,226.31901531829303,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,5000,1e-5,471.7451145510986,0.7739526518969801,296.771568627451,517.1397967610907,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,5000,1e-5,507.9542876453923,0.7916881869296508,564.0137254901962,822.3816921513652,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,5000,1e-5,560.892883758269,0.8621099281939387,138.0246732026144,190.82306702158309,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,6000,0,471.7451145510986,0.979821994937838,343.3160130718954,654.6976046690344,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,6000,0,507.9542876453923,0.9771471607637797,655.4076388888888,1015.0308528239109,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,6000,0,560.892883758269,0.9791035634864242,148.79068627450982,216.71893433317538,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,7000,3e-5,471.7451145510986,0.5712354208151394,184.24248366013072,381.6881674854688,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,7000,3e-5,507.9542876453923,0.6118399856912601,388.2716094771242,635.560831986188,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,7000,3e-5,560.892883758269,0.7656985385711081,110.8949346405229,169.48296123926957,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,8000,0,471.7451145510986,0.9822061422078663,293.7483251633987,656.2906445425318,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,8000,0,507.9542876453923,0.9833603875519108,593.2259803921569,1021.4849644856749,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,8000,0,560.892883758269,0.980501483800967,135.86364379084966,217.02835594305253,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,9000,1e-4,471.7451145510986,0.3751686927016131,104.78615196078431,250.6802722612304,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,9000,1e-4,507.9542876453923,0.4062602568403628,234.04603758169935,422.01084087151344,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,9000,1e-4,560.892883758269,0.6369454831017204,84.75837418300654,140.9842140034744,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,10000,0,471.7451145510986,1.0061333545652478,264.2640931372549,672.2783328141948,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,10000,0,507.9542876453923,1.0024436428008974,553.8967728758169,1041.3080716161246,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,10000,0,560.892883758269,1.0004908003599546,128.31111111111107,221.45287602884054,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,11000,3e-4,471.7451145510986,0.22504941899326503,55.95318627450982,150.37355387842263,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,11000,3e-4,507.9542876453923,0.24361176301125154,129.6323529411765,253.05651543209495,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,11000,3e-4,560.892883758269,0.48375034936452366,59.993382352941154,107.07535352467795,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,12000,0,471.7451145510986,1.0134855843735153,240.00330882352944,677.1909468086932,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,12000,0,507.9542876453923,1.0144048781855866,521.8331699346405,1053.7330403832227,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,12000,0,560.892883758269,1.0163488345659335,122.27169117647058,224.9629605611663,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,13000,0.001,471.7451145510986,0.1281679819681134,29.075612745098045,85.63930103968663,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,13000,0.001,507.9542876453923,0.13660108580788444,68.17401960784315,141.89706749582234,fluorescence,unroofed,2
2,W311*-GFP,2018-06-07,13000,0.001,560.892883758269,0.18547692533442783,21.709599673202593,41.0542491120537,fluorescence,unroofed,2
