n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
1,3E-05,NA,NA,NA,0.616808951170904,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
1,0.0001,NA,NA,NA,0.241274477565634,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
1,0.0003,NA,NA,NA,0.045809499221013,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
1,0.001,NA,NA,NA,0.014400377466597,W311*-GFP+SUR,ATP,patch_clamp,current,0.459366430617395,18
2,0,NA,NA,NA,1,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,3E-06,NA,NA,NA,0.999793383646519,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,1E-05,NA,NA,NA,0.953626195723956,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,3E-05,NA,NA,NA,0.860388152018804,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,0.0001,NA,NA,NA,0.555565901725978,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,0.0003,NA,NA,NA,0.192730332392892,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
2,0.001,NA,NA,NA,0.035915977599048,W311*-GFP+SUR,ATP,patch_clamp,current,0.408061131648734,19
3,0,NA,NA,NA,1,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,3E-06,NA,NA,NA,1.00176783395302,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,1E-05,NA,NA,NA,0.980931927842832,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,3E-05,NA,NA,NA,0.85864180967067,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,0.0001,NA,NA,NA,0.530209065474983,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,0.0003,NA,NA,NA,0.186993412519137,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
3,0.001,NA,NA,NA,0.024229111350335,W311*-GFP+SUR,ATP,patch_clamp,current,0.37129183849262,20
4,0,NA,NA,NA,1,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
4,3E-06,NA,NA,NA,1.01097579621843,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
