construct,method,wavelength,raw_spectra,background_corrected_spectra,bleaching_corrected_spectra,normalised_raw_spectra,normalised_background_corrected_spectra,normalised_bleaching_corrected_spectra,gfp_spectra,subtracted_spectra,normalised_subtracted_spectra
W311*-GFP,unroofed,408.72919188003925,8897.014502159771,-12.13089605120831,-12.13089605120831,0.668010519279307,-0.0037017665873575,-0.0037017665873575,0.004054799320785724,-0.007756565908143224,-0.014631758443756644
W311*-GFP,unroofed,409.0421987961839,8850.818968835465,-4.894953713263931,-4.894953713263931,0.6645420409266121,-0.0014937046716031405,-0.0014937046716031405,0.001200648303963597,-0.0026943529755667373,-0.005082548432847211
W311*-GFP,unroofed,409.3552036149068,8804.48583580978,-10.814108573633348,-10.814108573633348,0.6610632312377203,-0.003299946320613706,-0.003299946320613706,-6.466805431447595e-4,-0.0026532657774689466,-0.0050050427473651215
W311*-GFP,unroofed,409.6682063269537,8783.967090953473,6.876479489113535,6.876479489113535,0.6595226315901537,0.0020983711264193194,0.0020983711264193194,6.878222577499473e-4,0.001410548868669372,0.0026608180171352417
W311*-GFP,unroofed,409.98120692307043,8754.63327965016,-3.4108916470582926,-3.4108916470582926,0.6573201742921004,-0.0010408402379245118,-0.0010408402379245118,0.003879157175119026,-0.0049199974130435375,-0.0092809388257739
W311*-GFP,unroofed,410.29420539400206,8746.34704991182,7.890649790632551,7.890649790632551,0.6566980230492275,0.0024078471717341606,0.0024078471717341606,9.679060784166511e-4,0.0014399410933175095,0.0027162626476932928
W311*-GFP,unroofed,410.6072017304932,8724.636717270605,2.3290641982458737,2.3290641982458737,0.6550679559544889,7.107184821700282e-4,7.107184821700282e-4,0.0011335092777191814,-4.227907955491532e-4,-7.975401570718768e-4
W311*-GFP,unroofed,410.92019592328865,8718.896209451485,15.020787909230194,15.020787909230194,0.6546369440000578,0.004583622723618459,0.004583622723618459,0.005279049869373261,-6.954271457548017e-4,-0.0013118333721928218
W311*-GFP,unroofed,411.23318796313214,8704.971956454789,9.400713347740634,9.400713347740634,0.6535914756047166,0.002868646011069045,0.002868646011069045,-9.520165852784089e-4,0.003820662596347454,0.007207185868963263
W311*-GFP,unroofed,411.5461778407674,8703.413344241957,18.929357108838985,18.929357108838985,0.6534744510282819,0.00577633023726048,0.00577633023726048,0.0011694413798109006,0.004606888857449579,0.008690300029381459
